generador-1  | [CACHÉ MISS] Estación Central → 5 eventos desde MongoDB (7 ms)
generador-1  | Hit rate: 43.14% (66/153)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (2 ms)
generador-1  | Hit rate: 43.51% (67/154)
generador-1  | [CACHÉ MISS] Ñuñoa → 5 eventos desde MongoDB (13 ms)
generador-1  | Hit rate: 43.23% (67/155)
generador-1  | [CACHÉ MISS] Lo Prado → 5 eventos desde MongoDB (7 ms)
generador-1  | Hit rate: 42.95% (67/156)
generador-1  | [CACHÉ HIT] Ñuñoa → 5 eventos (2 ms)
generador-1  | Hit rate: 43.31% (68/157)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (2 ms)
generador-1  | Hit rate: 43.67% (69/158)
generador-1  | [CACHÉ HIT] Ñuñoa → 5 eventos (2 ms)
generador-1  | Hit rate: 44.03% (70/159)
generador-1  | [CACHÉ MISS] Santiago → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 43.75% (70/160)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (2 ms)
generador-1  | Hit rate: 44.10% (71/161)
generador-1  | [CACHÉ MISS] Renca → 1 eventos desde MongoDB (49 ms)
generador-1  | Hit rate: 43.83% (71/162)
generador-1  | [CACHÉ MISS] Salindres → 2 eventos desde MongoDB (41 ms)
generador-1  | Hit rate: 43.56% (71/163)
generador-1  | [CACHÉ MISS] Lo Prado → 5 eventos desde MongoDB (6 ms)
generador-1  | Hit rate: 43.29% (71/164)
generador-1  | [CACHÉ HIT] Santiago → 5 eventos (3 ms)
generador-1  | Hit rate: 43.64% (72/165)
generador-1  | [CACHÉ HIT] Lo Prado → 5 eventos (3 ms)
generador-1  | Hit rate: 43.98% (73/166)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (2 ms)
generador-1  | Hit rate: 44.31% (74/167)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (2 ms)
generador-1  | Hit rate: 44.64% (75/168)
generador-1  | [CACHÉ MISS] Quinta Normal → 5 eventos desde MongoDB (11 ms)
generador-1  | Hit rate: 44.38% (75/169)
generador-1  | [CACHÉ HIT] Quinta Normal → 5 eventos (2 ms)
generador-1  | Hit rate: 44.71% (76/170)
generador-1  | [CACHÉ HIT] Santiago → 5 eventos (4 ms)
generador-1  | Hit rate: 45.03% (77/171)
generador-1  | [CACHÉ MISS] Providencia → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 44.77% (77/172)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (3 ms)
generador-1  | Hit rate: 45.09% (78/173)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (2 ms)
generador-1  | Hit rate: 45.40% (79/174)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (2 ms)
generador-1  | Hit rate: 45.71% (80/175)
generador-1  | [CACHÉ MISS] BRAGA → 2 eventos desde MongoDB (40 ms)
generador-1  | Hit rate: 45.45% (80/176)
generador-1  | [CACHÉ MISS] Ñuñoa → 5 eventos desde MongoDB (15 ms)
generador-1  | Hit rate: 45.20% (80/177)
generador-1  | [CACHÉ MISS] Quinta Normal → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 44.94% (80/178)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (2 ms)
generador-1  | Hit rate: 45.25% (81/179)
generador-1  | [CACHÉ MISS] Lo Prado → 5 eventos desde MongoDB (9 ms)
generador-1  | Hit rate: 45.00% (81/180)
generador-1  | [CACHÉ HIT] BRAGA → 2 eventos (2 ms)
generador-1  | Hit rate: 45.30% (82/181)
generador-1  | [CACHÉ HIT] Lo Prado → 5 eventos (2 ms)
generador-1  | Hit rate: 45.60% (83/182)
generador-1  | [CACHÉ MISS] Recoleta → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 45.36% (83/183)
generador-1  | [CACHÉ MISS] Estación Central → 5 eventos desde MongoDB (5 ms)
