comuna,tipo,fecha,descripcion
Santiago,Peligro,2025-04-20T13:06:04.000Z,"Av. Libertador Bernardo O'Higgins"
Providencia,Otro,2025-06-29T22:26:42.806Z,"Ramón Carnicer"
Santiago,Otro,2025-06-29T22:26:42.806Z,"Salvador Sanfuentes"
Santiago,Peligro,2025-04-20T00:57:29.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T15:33:59.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T04:37:25.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T01:03:44.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T11:37:07.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:58:26.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T07:20:13.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T02:27:24.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T13:30:35.000Z,"Av. Libertador Bernardo O'Higgins"
Recoleta,Otro,2025-06-29T22:26:42.806Z,"Ernesto Pinto Lagarrigue"
Santiago,Peligro,2025-04-20T04:42:35.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:28:56.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-18T23:07:43.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:43:15.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T07:36:19.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T13:32:13.000Z,"Av. Libertador Bernardo O'Higgins"
Estación Central,Otro,2025-06-29T22:26:42.806Z,"Federico Reich"
Santiago,Peligro,2025-04-20T15:34:09.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T04:46:38.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T12:24:11.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:29:30.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T15:05:42.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:48:47.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-18T06:36:30.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T13:43:54.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-15T13:55:22.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T04:50:49.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:30:27.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T01:11:30.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T15:10:57.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:50:38.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T07:47:40.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T02:28:17.000Z,"Av. Libertador Bernardo O'Higgins"
Estación Central,Peligro,2025-06-29T22:26:42.806Z,"Av. Padre Alberto Hurtado"
Santiago,Peligro,2025-04-18T14:27:09.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T00:49:47.000Z,"Av. Libertador Bernardo O'Higgins"
Quinta Normal,Otro,2025-06-29T22:26:42.806Z,"Barros Arana"
Santiago,Peligro,2025-04-20T15:34:44.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-06-29T22:26:42.806Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T04:50:55.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T01:24:03.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T15:11:29.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:52:26.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T07:48:57.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T02:32:15.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Policía,2025-06-29T22:26:42.806Z,"Bascuñán Guerrero"
Estación Central,Peligro,2025-04-21T09:40:47.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T00:51:46.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T13:48:06.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T00:58:01.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T04:55:22.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:36:24.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T11:55:16.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T15:20:33.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-18T23:08:54.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:59:22.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T07:52:23.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Policía,2025-04-21T09:45:23.000Z,"Bascuñán Guerrero"
Santiago,Peligro,2025-04-20T15:36:10.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T05:01:34.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:38:10.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T15:33:36.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:12:46.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T07:57:00.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T00:52:56.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T00:58:55.000Z,"Av. Libertador Bernardo O'Higgins"
